y_test,y_pred
0.773766775,3.8813019
3.487137533,4.5178514
2.520784,5.940647
6.303801,7.1908402
2.356405,4.1509066
0.779392,4.9711556
4.488585748,4.0324864
2.456517,4.8979816
7.134197417,9.125188
2.3844391,3.9904666
6.398582715,4.087858
11.14497725,8.845324
2.060182227,4.7544785
4.048348477,4.968187
11.141955,6.1116643
7.97494161,7.7814636
10.92461,9.069399
3.58975795,4.557102
3.924342,5.776645
4.082634631,3.9279447
9.48948073,5.7432203
14.035502,10.7575
4.184716529,4.2213035
1.327267316,3.6565998
4.184136571,4.5048323
8.678535,6.575012
6.7294975,4.087128
4.079461813,6.033656
1.741894,5.1780634
2.580226,7.8192215
4.954841,4.7969017
9.4393425,6.3177385
2.193262003,2.888498
4.534761385,4.7148676
16.9978,9.396647
1.739174847,6.058606
14.7744903,7.6333957
2.272761676,4.242251
5.540742629,3.4339976
4.9638619,4.390288
6.5519445,5.6507664
4.7022672,5.364335
3.587462286,5.8637013
13.53524745,12.459623
4.709550667,3.2536163
6.3969,4.8120084
6.676325,5.701507
4.499386868,2.224785
5.59915215,4.837146
5.844511,5.8385835
5.820921583,3.9711182
6.7241994,4.926564
5.515833667,5.282249
3.116501401,4.372002
5.922671768,5.4621086
3.637168111,4.0963464
1.523050712,3.185084
0.660647838,2.4791963
5.111892275,6.331635
4.39628652,3.7199662
3.1708655,2.7061007
0.797135715,4.669097
0.010592515,6.6716647
1.151940212,3.80929
4.992711083,5.424329
5.040699913,4.072416
2.100516667,6.191965
0.484797302,1.7293087
4.954529,5.444538
16.1610948,12.127093
2.622655,2.7617989
3.2751425,4.859031
8.04582325,4.5495353
5.527632455,5.5708685
11.71580675,6.201134
6.011029,5.0550275
11.92299591,11.817835
8.756922,10.890348
0.72733215,2.6192129
4.906406667,5.3326974
6.69438,2.4038963
1.380612,4.9740777
5.009604258,6.2371655
4.478221,2.4270198
0.743432338,4.8036046
0.865794,2.3360372
0.487962399,2.952881
4.183691,2.8061988
5.03511626,4.1422744
6.558083267,4.462732
1.550125778,4.9787807
2.192942835,3.7634418
3.836159,3.4651713
4.855261333,4.75055
0.498912224,2.2482648
2.7319483,3.0242257
0.900952,6.511845
14.123665,11.248809
0.8125834,5.2138076
2.89836686,4.2928066
7.83334025,4.9130464
1.721013333,6.777461
10.66866,2.342578
11.1652239,12.266125
9.71046552,4.8711634
9.0532136,6.26223
9.3684435,10.252208
13.8148,11.09927
1.445209667,5.0155597
2.956215008,5.2332864
1.364949159,2.0441256
2.982541667,3.999747
2.978585,8.212191
4.786201444,4.0661597
3.625555,7.986383
6.697878,4.8401823
9.716779818,7.390294
0.029076817,3.3993864
11.27705629,8.16702
12.69610939,7.1334524
4.088477429,7.1823883
5.0679595,5.431798
5.35319575,3.5599494
4.5775624,5.4229155
