True Labels,Predicted Labels
0.229686467,3.4277964
3.110276127,4.3668804
3.067382333,4.6611857
0.002946131,2.8558505
12.81318,6.593331
1.483458733,3.2199023
10.22668,4.9992886
1.972505147,5.7912016
2.977186109,5.2713594
2.869107692,3.4120164
3.480588217,4.7862654
6.888972857,5.369482
9.961962455,9.934853
9.662391421,9.409383
2.555320625,3.4568002
4.75463,6.825619
3.636106809,7.2053103
6.379825667,5.803259
9.100802444,7.043891
8.0311775,7.415078
0.54629635,6.460003
3.132990478,4.6697106
2.8445125,7.8670483
5.925332,6.150805
5.076190035,7.529785
1.760114,4.908631
0.034512886,4.265998
0.3240531,4.1180553
6.320994645,6.929226
4.228565167,3.6941416
11.59206,7.1777034
8.101588029,3.8739655
3.03391398,4.91093
6.2757051,6.5511274
0.220285429,4.929275
4.49485638,5.1335726
14.063255,8.093087
1.824433492,3.252609
1.6209838,3.4849937
1.283468071,3.7672646
3.849912575,5.3400817
1.603329234,7.1451144
5.785834653,3.3798394
2.514030352,5.31158
3.911832,6.7032022
6.164021429,7.283223
4.909861667,4.253649
7.8620222,6.3852477
5.6688,6.481513
5.322673425,3.5563939
5.120617579,4.46511
0.42838828,3.1507726
0.639248725,6.315132
6.37236045,5.284284
2.317855083,3.1326208
8.754643667,10.402148
3.637715,2.4973032
5.2054727,8.028529
6.998373,5.9379816
4.504659375,6.1453056
9.938242,6.487866
6.301613462,3.5146844
3.729112,3.1573176
1.505470555,4.994885
6.607433,3.6660066
0.318233502,2.1466136
3.034750384,3.907488
13.451412,10.399694
8.288160185,4.3177
1.669695,2.568266
10.79903,4.675471
8.196319,3.9603357
1.5818945,4.1526756
5.262483538,6.17151
17.8764365,11.867491
4.115610986,5.166462
11.64128567,13.228729
4.578777313,3.666804
4.455356692,3.004625
15.185913,12.188986
0.3147565,2.0750284
0.4523884,2.4183517
6.24399112,2.9423563
0.73519975,2.426013
1.467501736,3.1683638
10.83959929,5.2312875
14.66804,10.362512
1.4628837,2.9528017
8.823019333,4.3674603
0.097622757,3.8839803
2.737160504,5.8659897
1.660507,5.101497
13.69774,4.182457
3.700301871,4.9427223
5.76284025,5.0902348
7.719806,4.9532957
3.775146306,4.8364773
10.45925372,11.755334
16.766115,15.295306
4.8798865,2.1166794
10.22617303,7.580587
6.4454185,5.5709844
8.228759,4.940412
6.4915,5.0421734
3.346612,6.1086483
8.140448308,7.3824906
4.240989,3.2587843
14.34263985,11.579381
10.93831505,7.0532002
2.91054795,4.7097344
3.13625092,4.5132923
4.27539156,3.7665374
3.669184444,4.8565516
11.92024926,11.86148
2.370377871,6.054933
2.653469302,1.6772773
10.815644,6.3755574
1.7434549,3.8809495
5.32988,4.701478
4.32400224,4.9316983
8.806026,7.844961
4.60603065,4.837749
11.93435273,11.384385
2.667763678,4.3567677
0.21249799,1.603555
10.42668643,10.817084
3.530881139,3.1610456
3.282595917,3.9013739
0.033130045,3.961967
1.494045,5.1962924
1.01790905,2.8325062
3.4058785,3.0048404
2.093619411,4.0113993
3.883376253,5.265889
1.150844,4.5599456
4.898195,5.719425
5.5226896,7.1760945
2.424176,2.8300288
8.938306,5.8993564
2.024301366,2.411839
12.0499786,12.129408
3.740715308,4.0901537
8.53303,7.270823
7.9497725,3.6167054
5.491506375,8.197219
10.06603475,5.110673
6.3956365,3.2387967
0.01606565,2.6327312
6.0532595,9.295812
2.7225338,2.7487938
1.642852458,3.247109
7.771680667,4.0747585
9.947378333,8.974596
2.257576,2.2733305
0.383929864,2.8430798
3.377785638,3.13914
2.0396379,5.4673505
10.274775,7.1892724
10.52237,11.618627
2.830390107,4.091217
6.338067473,5.5120273
6.964755628,4.034083
1.449662728,4.0716605
2.960917,3.8174272
4.517401976,2.8664358
10.986465,8.722819
6.924306286,6.0996704
6.4481375,7.100203
0.0643695,5.1139436
2.498640247,2.4233773
4.202185457,4.7863607
3.116131008,4.540272
8.9656995,6.4501815
7.478329025,6.9851565
4.535862711,3.1918862
6.149480644,5.886451
0.609220467,6.649789
3.9198612,3.3759737
0.509131517,2.3352957
5.25050585,3.555133
1.360152067,5.1753263
6.383881333,5.904911
0.480255713,5.318537
0.72772495,5.1027074
6.67488471,6.0626903
10.60545998,8.857342
1.390494943,2.929703
1.276716709,2.3574827
4.4497198,6.6461334
3.309432556,4.994586
6.51597569,6.11434
6.648235167,6.024019
2.43562718,3.936349
1.98246945,5.6552415
8.282953,6.317158
8.421401885,6.599359
0.278165777,3.6551387
16.00069,10.285912
8.799587699,7.469623
0.041909894,3.1601562
2.5027785,5.611075
3.265842,6.5990725
3.180233081,2.8954422
5.210342655,4.172526
3.338366986,1.4493563
7.094060125,9.671332
0.53897325,3.4556615
3.963296,4.7615685
8.851653,8.0974245
8.146070154,6.8229537
0.1396197,3.189205
6.5638916,6.9758005
0.715665532,3.1351202
4.057332333,5.2879705
8.7065205,7.288934
9.2129985,6.3414116
9.237623718,4.1765537
2.023752183,4.372638
5.124575,5.9870276
6.600261833,5.788348
5.085665,6.633075
3.1665215,4.818776
3.752335477,3.4587991
12.41264,4.1096997
9.158979,10.565531
10.99007589,7.1128473
13.64861333,5.9360304
13.8115532,9.457724
2.3566307,4.424251
7.8945507,7.3113074
5.415757,7.228267
0.408166346,5.2724094
10.51930044,8.064101
1.092265253,5.4722204
14.20820603,11.668412
5.3227144,3.3656704
5.738998,3.7877903
0.586594693,6.1000853
3.321101615,4.2682586
0.839827181,4.767555
10.32970094,5.756272
0.35207823,3.8837593
9.655189182,7.243221
6.879369137,6.5359282
0.832659795,6.1959867
2.53927625,5.2640944
5.437789,6.2724285
4.426173053,5.91883
2.159041,4.5396414
0.080407314,4.396467
3.283130033,2.6793053
11.75793,7.2172585
