True Labels,Predicted Labels
0.469381567,3.4646077
2.77313785,3.3144388
7.755306,4.1051416
0.8212085,6.02841
5.278316075,5.7579484
5.790419188,3.8352997
1.525332631,3.966479
3.076622186,5.159908
2.720758,4.9102
0.95952625,7.212087
7.480100667,4.8794613
3.337757322,5.619215
4.750546,3.385103
10.44996,3.0890555
2.994071721,3.4078398
13.56342,7.9481716
8.281713317,6.717648
6.645107545,4.8851624
0.223930427,4.584195
0.083788108,4.176848
2.189087763,3.3256395
2.345050486,2.9194207
0.980474971,4.2903914
13.300394,9.240743
0.751304348,4.4247336
0.844373487,4.8166037
1.974259,4.9163127
3.534157264,4.3971157
4.957332985,3.160731
0.993934857,4.468723
4.628125,4.045127
4.4757277,5.0988708
0.9257634,7.5122924
0.5590581,2.4991324
6.309272,6.8388653
2.2772901,1.7810314
5.07951649,5.6111603
8.058122667,4.553672
11.78558923,11.7812
1.127519352,2.4643211
5.857339,4.2564077
3.9609925,4.407905
1.670961209,4.383052
2.1292809,4.755455
4.444698805,4.1284575
10.54158,6.0430684
9.074022667,8.109824
7.337004385,4.8170667
0.174175943,1.6533157
10.53432471,5.3060126
1.326693058,5.572852
5.899382,5.070582
3.2774296,4.855423
4.937055975,3.628485
1.552199347,1.766072
3.707831125,4.664639
3.017045012,3.5417862
6.646450667,2.7932072
0.645973,4.7872796
0.3802573,3.9856787
0.019749817,4.620691
7.391116826,7.898652
11.74605653,10.432745
10.91466433,6.810379
1.79195068,5.3746824
7.01504899,4.9979663
5.221617,4.98198
3.150744936,2.9645877
1.013720529,3.3382704
7.051342333,4.4610763
15.29027333,11.149416
6.451647,4.854569
0.9150284,3.9668627
2.951690813,2.0145578
5.413472374,8.302861
13.12607,12.944806
1.491307833,4.0097017
1.342617433,3.5620632
0.169321,3.2773352
0.8788941,7.717741
3.70401,3.4574394
6.093507,4.907454
3.669001,6.4403987
6.235623055,6.208931
4.653042571,8.427909
8.186974727,4.6273766
0.921682,6.095202
12.60189813,13.884394
0.7380649,6.585947
5.083656,4.1246643
4.687806857,4.6858244
2.211969616,3.8198473
2.090093541,2.8858662
2.905347667,4.434098
13.09284056,13.614809
12.41552752,10.574238
11.2144601,13.402637
9.033144802,8.123864
0.412102457,3.0455134
0.913949568,1.2115366
2.99247885,4.8896785
0.060846963,4.056997
2.78680335,4.30732
9.042249143,8.0051985
2.9606885,3.3467577
9.474969,6.0659914
2.310722,5.0955634
11.62014854,11.012386
3.278296,3.2840788
2.1328366,5.270703
0.950015995,2.5300488
8.2415655,4.5417995
0.733878557,3.6153648
1.899032,7.6513753
2.823527713,4.3955545
1.871128046,3.3691137
8.200719857,6.974678
12.99985944,10.562568
11.02346715,11.043762
5.269983,4.082449
1.296478389,3.768382
0.471312459,2.9773848
2.754480141,5.398443
3.873527005,4.362067
2.9714,5.345752
4.791635926,5.1810684
0.006647133,2.9097552
4.81927452,4.9332886
1.30168605,6.3667226
2.305044833,5.435278
6.342433,3.2693229
5.603795333,6.410704
2.7696,4.091204
1.295574775,2.582364
2.336195381,2.817245
6.646942167,7.0942397
0.738275531,1.9345024
5.026081909,6.898727
6.277753856,7.7519994
2.865169333,2.2550423
4.108141375,2.5962722
6.661288429,3.8555763
8.140395333,6.283458
3.882550432,3.5851297
0.936691785,3.875938
2.332276895,2.9412405
7.374828892,6.7375607
0.005333,4.2789316
6.945582505,4.780841
2.78233475,4.564435
1.074525326,2.760793
11.25219,7.2174644
3.8894485,5.9666915
0.798456588,2.777328
1.643001,6.3400908
1.538770837,2.0537093
1.409125716,3.8517923
0.264779826,3.503952
2.140542719,4.1915407
0.99454764,3.2782788
11.138664,3.9105546
3.44212275,5.690565
3.450745508,2.3777025
9.683249135,9.418592
3.462656133,3.3141358
10.5189105,9.647373
7.011939516,6.190437
8.999802833,6.080812
3.206907258,3.0602462
9.234688429,5.3605967
3.051192571,8.437175
8.708319,6.897075
1.085765096,3.8985126
12.60912,1.7131841
7.354046986,6.9048615
2.9808342,3.4242487
4.615617,5.3089585
2.165154333,3.201945
3.02794,3.5054798
8.581919737,6.7998724
0.40745635,6.289192
0.153639432,6.171073
1.204552766,6.074262
2.581963843,3.2856405
3.804259,4.6454563
2.310282918,4.38991
13.83651,4.5590515
4.850253715,5.4945164
0.591957355,2.9152243
0.846853717,6.105232
2.751408161,3.6287334
5.568498,6.5217624
7.831139083,5.0232434
7.118078222,5.8864827
1.96142634,2.8205264
1.812758,7.205782
0.5281942,6.9315557
8.186672,7.17606
6.417459133,6.257231
1.031952,2.3503397
7.416123556,6.3750067
8.830852,8.067613
1.365132,6.6101313
0.08908549,2.3811893
8.782740333,8.168959
5.092833771,3.7469368
6.831049088,7.5930023
2.672752978,3.7054174
5.05602842,4.899072
3.800787667,4.461714
5.9730602,7.678585
6.181383453,4.5545163
3.069833333,3.9338183
7.392653,8.348569
2.868948,9.689159
3.722255118,6.0980573
10.6066102,5.917458
4.062837,7.6506023
0.4892825,6.1087346
11.442528,9.500747
4.879933191,3.7170234
15.11261078,11.159916
6.190146094,5.2509503
5.64386136,3.681419
5.624009161,5.970529
3.42404405,3.6136403
2.46747465,4.104473
4.104793393,4.454399
8.22472164,10.198214
3.097318093,4.393182
0.11253508,4.337567
12.95019,11.247829
3.750120614,4.200431
