True Labels,Predicted Labels
2.908851776,2.9295006
6.289477,6.340472
1.49441479,4.306278
3.517184271,6.41579
2.1323567,4.523951
3.496551033,4.6587043
9.307937556,9.720505
7.909444039,10.423458
5.076267605,5.1284738
2.142717097,4.2300167
3.079882598,4.7677855
5.0012324,3.496879
7.301072724,7.9453983
10.854893,11.170819
9.4326605,5.838332
3.003311,3.0709152
1.724694373,4.0896916
5.054834591,9.910442
2.61056112,3.7901845
2.661056222,3.3250382
2.507243422,4.213802
12.13215521,7.7223754
7.101935234,7.3266535
7.9133176,3.327991
3.127018744,4.0693846
5.798128687,7.240511
5.473389667,3.4671838
1.95628,5.1485043
0.53760845,3.84265
5.4143826,5.2806067
5.220161496,3.3903937
7.650807667,4.1127114
4.9421165,6.588708
0.191587646,2.8918345
1.917608,7.157233
1.285641733,1.8793228
1.337560095,3.810963
4.301128333,3.6827755
9.807926,7.079895
6.335411667,5.6609764
5.7002545,5.030524
6.828585944,5.551864
3.222543833,3.7775564
2.09855354,3.0835638
0.437480823,2.8179157
5.101601273,8.083791
1.215227,2.2031758
6.113325841,6.4124994
8.413234173,11.806917
5.011449342,5.4297757
1.466468,7.7158895
0.956796771,3.0591052
3.893112285,2.7083569
3.024284843,1.6881298
2.34933338,3.1698472
20.08373333,11.602538
1.62589667,2.3856835
9.908152,12.667453
4.374920314,3.2420266
4.597148043,4.785724
5.118161583,4.8861895
6.213249131,4.9974656
11.54457895,12.615141
5.014202,5.8182497
4.580331714,3.6447763
5.334624653,3.6535585
0.1158149,2.119665
0.90659475,7.5734825
10.97349343,3.4694026
3.417326381,6.247757
9.1049165,6.1607904
7.328679,6.5441623
2.066543667,2.9589593
8.646346,3.0431936
4.72745,5.6042233
2.722295967,4.6752286
0.240245484,3.4272432
2.805852518,4.358722
3.962970917,3.389015
2.525112098,4.37534
2.257608795,2.5877254
14.44059,14.617089
9.485478,14.616359
10.66616102,8.034739
6.164439,5.624452
6.347280818,5.375888
7.012984571,4.734543
7.773561,5.739156
6.048051113,5.202438
1.576520987,3.5184677
5.0239115,4.069532
0.7389744,5.8154845
4.227721667,5.4581923
3.862902333,4.920213
13.25219959,10.7047
2.1969344,3.8241346
14.45931433,9.26432
7.0913842,9.167428
1.350612,4.0175986
3.615634,3.9811127
2.52864875,4.7985196
3.347879717,5.965703
3.5841526,4.70365
1.05175207,1.8934138
0.200037642,2.8736148
3.114977124,4.344476
6.4280335,5.4159746
3.761054375,4.5708847
1.908656,6.647188
6.810824,4.310049
5.427985,3.736071
10.04484,7.3144045
0.106827012,2.3885903
2.19958694,2.4922445
8.7799055,5.2079225
3.8595225,4.0639634
11.47077538,11.016288
4.919736667,7.5378757
0.251265933,3.2336385
6.926969,3.7836134
10.23228844,6.4897523
2.5098355,5.6506605
11.04402404,11.070571
9.027878915,6.0759273
12.52828575,10.919972
12.61747,6.011822
0.863088167,3.6999602
8.915365,4.254002
4.905895485,4.709904
1.839967336,1.1012934
0.158386462,1.9890954
11.46692208,11.870742
1.962848333,4.755754
5.082837976,4.3815393
9.196054,5.471561
4.526722787,3.8209512
3.656656,6.0368905
1.670869933,3.4083018
4.36438875,2.5258267
4.008262368,2.5361269
1.412490334,2.2048662
1.718992554,2.4039786
4.753584282,3.6838791
4.767607143,4.697735
3.668474366,3.9626102
6.91509889,3.5792935
0.016515152,3.1839683
4.922634653,4.176704
9.3174115,9.069934
2.773023903,5.224528
1.259418199,1.4713793
1.605881472,2.4291704
5.553749616,4.9233704
6.103759982,6.934893
12.214284,4.560844
1.44923935,3.3862648
2.905006716,4.9379487
5.55517,5.3973813
11.51781005,6.4543686
6.536044,4.895051
7.7807285,4.6022944
6.895592111,4.8771634
0.915761213,2.161138
7.553998153,7.137936
1.034464109,3.8823788
0.866577,3.6297584
2.779060067,2.5718067
0.859373001,2.9448278
6.308851,6.1146483
2.690134197,6.834189
9.404989333,4.644047
1.084557925,4.4189873
5.439309,5.51955
2.5494115,3.113481
7.0291365,3.9815772
2.54025,4.4891973
6.2642432,6.5524626
4.968421548,5.521488
2.5661067,5.4304557
5.399109233,6.1488495
1.99862892,2.3615434
0.721363233,3.9317467
7.331920273,7.572604
5.524089,6.1961317
2.695498875,3.3758817
1.642656574,3.1144898
6.728453578,6.5834093
0.959618238,2.9440534
4.729881191,4.439367
5.766074348,6.1304398
3.756003686,6.5766344
6.55725225,6.409403
7.45244375,6.2043304
0.201983483,4.9454155
6.969048667,7.1619177
1.686722,2.0060422
9.553217331,2.9746215
0.29311216,2.8772092
3.365905642,5.8706555
1.816028821,3.6385705
6.000702429,6.3943815
7.884937459,7.0163026
8.5091506,8.733015
3.522505664,3.8141565
0.38375175,2.7554412
3.166110073,4.1139517
6.02460452,3.5689125
8.166602935,6.678385
12.76433518,5.53801
3.22906408,2.3081036
3.255157522,4.893365
16.25064,10.71184
13.7382744,10.783263
8.4794483,7.648373
13.55562636,8.922483
6.214546933,6.654452
8.382023545,6.197598
3.014340859,7.2292585
4.529045,8.437418
2.327640722,2.1602507
11.1922422,6.566307
11.29282113,7.0354033
10.94904075,7.08894
2.982857889,7.699641
4.568274786,4.620676
11.31535833,12.302291
9.318061,3.365446
13.49611,12.201734
9.350814094,9.538296
10.721502,10.556809
7.7176275,6.9666348
0.56047185,7.249656
3.044436,11.141754
13.49703714,8.247295
11.24241,6.367573
11.92281129,5.697664
3.733030557,8.055294
2.27716046,5.153961
10.16848288,7.4502378
10.70878595,8.849914
3.945482245,2.5252175
2.872532171,5.3614306
9.582152857,6.7872944
0.02536926,3.1144042
10.31129,9.942955
11.05352158,7.720325
3.6429381,9.766583
2.934995991,4.2018213
11.61150083,8.706812
8.32692,8.476048
17.85536,10.332349
1.238050133,4.8067694
11.48195778,8.496103
11.34626056,9.466385
6.211084333,2.620664
2.61870875,7.4496875
9.428864605,7.7684813
1.066038925,4.064318
0.60056242,5.101394
3.86517866,3.6061141
4.409294867,10.175746
20.10220811,7.744151
6.798543717,7.297346
7.359469284,5.164193
3.902169,7.3378744
0.540698801,4.851645
6.373431518,3.9228585
6.073496,8.7647295
9.5135505,8.588384
3.279751004,1.6051102
13.97703062,8.247266
14.163772,11.415784
0.017240006,3.3482084
6.5033594,6.715088
14.15674,9.707084
8.572931929,9.756354
9.057467654,8.907184
0.553926267,5.5141788
11.83706382,7.356054
10.5796544,7.3583393
10.679967,12.257909
0.275247993,6.84612
12.09813035,6.980426
1.52873785,5.8880115
9.682260333,6.016954
3.072723021,7.9435916
6.7310425,3.7905302
2.931425744,3.826142
6.748518267,6.442878
17.056075,10.409593
4.930459523,3.2509136
15.160115,8.258586
2.269832,7.2430377
3.357936667,3.586859
0.112692,2.658203
3.10445,9.65682
16.29658296,23.249191
9.42832,12.220951
1.577412,5.114783
